date,customer_name,amount,bank_name,receipt_no,invoice_no,bill_date,bill_amount,payment_mode,team_id
"2025-04-04","SHIV MEDICAL - TAPOVAN ROAD",77.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-05","KHALSA MEDICAL STORE - PATEL NAGAR",645.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-04","BHATIYA HOMEO HALL - PREM NAGAR",505.0,"","","","",,"Cash",MA
"2025-04-04","BHAVYA PHARMACY- PREMNAGAR",255.0,"","","","",,"Cash",MA
"2025-04-04","GUPTA GEN STORE - PREM NAGAR",296.0,"","","","",,"Cash",MA
"2025-04-04","GURU KRIPA BANGLE STORE - PREMNAGAR",496.0,"","","","",,"Cash",MA
"2025-04-04","HIMALAYAN MEDICAL - PREM NAGAR",277.0,"","","","",,"Cash",MA
"2025-04-04","HIMALAYAN MEDICAL - PREM NAGAR",223.0,"","","","",,"Cash",MA
"2025-04-04","JAI MAA DURGA SUPER ST - PREM NAGAR",500.0,"","","","",,"Cash",MA
"2025-04-04","KISHOR MEDICOS - PREMNAGAR",1000.0,"","","","",,"Cash",MA
"2025-04-04","MINI STORE - PREM NAGAR",500.0,"","","","",,"Cash",MA
"2025-04-04","O2 ZONE - PREM NAGAR",1109.0,"","","","",,"Cash",MA
"2025-04-04","PREM GEN STORE - PREMNAGAR",980.0,"","","","",,"Cash",MA
"2025-04-04","PUSHPA GEN STORE - PREMNAGAR",300.0,"","","","",,"Cash",MA
"2025-04-04","RAGHUWAR MEDICAL - PREMNAGAR",500.0,"","","","",,"Cash",MA
"2025-04-04","SACHDEVA COSMETIC - PREMNAGAR",161.0,"","","","",,"Cash",MA
"2025-04-04","SACHDEVA COSMETIC - PREMNAGAR",39.0,"","","","",,"Cash",MA
"2025-04-04","SHIKHA COSMETIC - PREM NAGAR",500.0,"","","","",,"Cash",MA
"2025-04-04","SHUBHAM GEN STORE - PREMNAGAR",500.0,"","","","",,"Cash",MA
"2025-04-04","SINGH MEDICAL - PREMNAGAR",500.0,"","","","",,"Cash",MA
"2025-04-04","SONI MEDICAL - PREM NAGAR",931.0,"","","","",,"Cash",MA
"2025-04-04","DAYASHANKAR - GAURAKHPUR CHOWK",700.0,"","","","",,"Cash",MA
"2025-04-04","NAVEEN GENERAL STORE - ITBP RD",180.0,"","","","",,"Cash",MA
"2025-04-04","R R COSMETICS - RISHI VIHAR",993.0,"","","","",,"Cash",MA
"2025-04-04","R M TRADER - ITBP ROAD",209.0,"","","","",,"Cash",MA
"2025-04-04","ASIAN PHARMACY - NIMBUWALA",500.0,"","","","",,"Cash",MA
"2025-04-04","CANTT MEDICAL - DAKRA",500.0,"","","","",,"Cash",MA
"2025-04-04","CHAUHAN & SONS - NIMBUWALA",500.0,"","","","",,"Cash",MA
"2025-04-04","DRONA MEDICAL - GMS ROAD",3226.0,"","","","",,"Cash",MA
"2025-04-04","GUPTA PROV STORE - CHARKHI GATE",1500.0,"","","","",,"Cash",MA
"2025-04-04","GUPTA STORE - PREAM PURI MAFI",500.0,"","","","",,"Cash",MA
"2025-04-04","GURU KRIPA FAMILY CAMP - BALLUPUR",3000.0,"","","","",,"Cash",MA
"2025-04-04","KAILASH STORE - DAKRA",619.0,"","","","",,"Cash",MA
"2025-04-04","KANISHKA COSMETICS - DAKRA",3365.0,"","","","",,"Cash",MA
"2025-04-04","NITIN GEN STORE - NIMBUWALA",500.0,"","","","",,"Cash",MA
"2025-04-04","RAJEEV TRADING - DAKRA",758.0,"","","","",,"Cash",MA
"2025-04-04","RISHI MEDICOS - DAKRA",5500.0,"","","","",,"Cash",MA
