name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"KAI KITCHEN SHORT PINK","KAI KITCHEN SHORT PINK","KITCHEN SHORT PINK","5151","KAI","KAI",88.34,"PCS",available,41,18,pcs,1,JA
"KAI KITCHEN SHORT BLACK","KAI KITCHEN SHORT BLACK","KITCHEN SHORT BLACK","5156","KAI","KAI",88.34,"PCS",outOfStock,0,18,pcs,1,JA
"KAI KITCHEN SHORT BLUE","KAI KITCHEN SHORT BLUE","KITCHEN SHORT BLUE","5152","KAI","KAI",88.34,"PCS",available,29,18,pcs,1,JA
"KAI VEGETABLE SHORT GREEN","KAI VEGETABLE SHORT GREEN","VEGETABLE SHORT GREEN","5163","KAI","KAI",88.34,"PCS",available,44,18,pcs,1,JA
"KAI VEGETABLE SHORT YELLO","KAI VEGETABLE SHORT YELLO","VEGETABLE SHORT YELLOW","5164","KAI","KAI",88.34,"PCS",available,32,18,pcs,1,JA
"KAI VEGETABLE SHORT PINK","KAI VEGETABLE SHORT PINK","VEGETABLE SHORT PINK","5161","KAI","KAI",88.34,"PCS",available,52,18,pcs,1,JA
"KAI VEGETABLE SHORT BLACK","KAI VEGETABLE SHORT BLACK","VEGETABLE SHORT BLACK","5166","KAI","KAI",88.34,"PCS",available,68,18,pcs,1,JA
"KAI VEGETABLE SHORT BLUE","KAI VEGETABLE SHORT BLUE","VEGETABLE SHORT BLUE","5162","KAI","KAI",88.34,"PCS",available,48,18,pcs,1,JA
"KAI KNIFE PEELING PINK","KAI KNIFE PEELING PINK","KNIFE PEELING PINK","5180","KAI","KAI",88.35,"PCS",outOfStock,0,18,pcs,1,JA
"KAI KNIFE PEELING GREEN","KAI KNIFE PEELING GREEN","KNIFE PEELING GREEN","5182","KAI","KAI",88.35,"PCS",outOfStock,0,18,pcs,1,JA
"KAI KNIFE PEELING ORANGE","KAI KNIFE PEELING ORANGE","KNIFE PEELING ORANGE","5184","KAI","KAI",88.35,"PCS",outOfStock,0,18,pcs,1,JA
"KAI KNIFE PEELING YELLOW","KAI KNIFE PEELING YELLOW","KNIFE PEELING YELLOW","5183","KAI","KAI",133.47,"PCS",outOfStock,0,18,pcs,1,JA
"WG VANILLA TWIST","WG VANILLA TWIST","WG VANILLA TWIST","","LAYER","LAYER",169.49,"135ML",outOfStock,0,18,pcs,1,JA
"BK FRUIT FACIAL KIT PACK","BK FRUIT FACIAL KIT PACK","FRUIT FACIAL KIT PACK OF 5","","AROMA MAGIC","AROMA MAGIC",529.66,"PACK OF",available,17,18,pcs,1,JA
